,data
0,-0.6602706747387794
1,0.32346638774994285
2,0.09456343042282978
3,0.204754433443592
4,-0.2900410597906201
5,-0.6300416139324492
6,-0.5597178128859509
7,0.2100414915583182
8,0.3532505663088674
9,-0.03254071804416225
10,0.1855506387306478
11,0.0519454151862937
12,0.337628948349479
13,0.1391719455250915
14,-0.6969863511139482
15,0.5425043383596047
16,0.5652017319116134
17,-0.27658317630016105
18,-0.37264578856307007
19,-0.0854977722213317
20,-0.40551360191442454
21,0.16003445489230472
22,0.39539696815229997
23,0.036638779039432245
24,-0.4956191974484291
25,0.34374531836852196
26,-0.6044067546504568
27,0.16971774886001478
28,-0.5122459523516663
29,-0.5408543671270254
30,-0.47776616214651635
31,0.43022480396352814
32,-0.4098232297947625
33,-0.6148088247587231
34,-0.5129816465909225
35,0.005909561948651998
36,0.06847894139126431
37,-0.37016136196221827
38,-0.00968625123681488
39,-0.579743162480556
40,-0.5219715884624441
41,-0.48990466053206694
42,0.5960581162324938
43,0.07863689725861489
44,-0.5239844678048224
45,0.15811015095407255
46,0.38610154035991595
47,0.3517628856823938
48,-0.4198969954293834
49,-0.06926460270192791
50,-0.323270302104678
51,0.09108726418927215
52,-0.2896175643755201
53,-0.27183930919317356
54,-0.5568797108932659
55,0.2140918650033461
56,0.2516973643748539
57,0.07329996145196338
58,0.537505773606908
59,-0.3935208404471986
60,0.28648416513875996
61,-0.47072775095924524
62,-0.44574084969819905
63,0.15987098289990764
64,-0.4047014282424468
65,0.23874903612707477
66,-0.11144638617999847
67,0.2399174473136585
68,-0.5211894083367575
69,0.053116181933728024
70,0.15308913003078461
71,0.036370617886760215
72,-0.47095975633715104
73,-0.4739935765508644
74,0.3134998495156929
75,-0.5817745787182096
76,-0.5828733836366817
77,0.07802494544502903
78,-0.4708208643900724
79,-0.25298456549695514
80,-0.4646964240000123
81,-0.5849042263644568
82,-0.6173452714926126
83,-0.41847598789409557
84,-0.7918568162672865
85,0.007646165184983955
86,-0.008912819953380002
87,-0.4849482420733554
88,0.20359843252470644
89,0.14560331897202983
90,-0.4477702888002715
91,-0.4975805534065423
92,0.0163508398562926
93,-0.47924621347649454
94,-0.3560959619986196
95,-0.5117163974273531
96,-0.4932342225601676
97,-0.5163218417673818
98,-0.47552557022454345
99,-0.35295373711618017
100,-0.6848349588431081
101,0.4759682048648748
102,-0.4534964879076929
103,-0.521101392884031
104,-0.48053287739077755
105,-0.573107521286753
106,-0.40953658238065216
107,-0.3193946797510916
108,0.2032077814014035
109,-0.48752622895713704
110,0.1919125022631385
111,0.014310398925676093
112,-0.8452893003528092
113,-0.23546446642826568
114,0.1750166123547563
115,0.04673159683622363
116,0.170945644335057
117,-0.4704204045523904
118,0.002494313242505708
119,-0.4583639639254894
120,0.553551443377728
121,-0.0038010385123515844
122,0.299323004850065
123,0.19083368845795734
124,-0.4169662586193982
125,-0.006580003386309041
126,-0.40858787880529956
127,0.3929174014792949
128,0.14843126698305387
129,-0.6892021574549748
130,0.1631726462198
131,-0.1094832985926929
132,-0.0016272454800908553
133,-0.22617018239325293
134,-0.5000051932246758
135,0.10659671322609432
136,-0.5643804555113854
137,-0.0405409710485346
138,-0.5343706089493989
139,-0.6256935585580066
140,-0.43802884843452305
141,0.16811323613579265
142,0.24649635746495568
143,0.2802585835058822
144,-0.47170900211539024
145,0.07579661724268294
146,-0.16959054558529707
147,0.014526106550822204
148,-0.41400744613537355
149,0.13082394190574442
150,0.3753060036020661
