0.603,0.387,1.000
0.115,0.521,0.000
0.639,0.561,1.000
0.213,0.771,0.000
0.134,0.635,0.000
0.435,0.609,1.000
0.660,0.507,1.000
0.589,0.623,1.000
0.880,0.790,0.000
0.851,0.847,0.000
0.539,0.561,1.000
0.632,0.640,1.000
0.117,0.703,0.000
0.433,0.603,1.000
1.000,0.724,0.000
0.516,0.576,1.000
0.081,0.253,0.000
0.493,0.622,1.000
0.371,0.855,0.000
0.471,0.622,1.000
0.393,0.884,0.000
0.365,0.467,1.000
0.305,0.561,1.000
0.830,0.561,0.000
0.548,0.299,1.000
0.232,0.159,0.000
0.650,0.428,1.000
0.079,0.633,0.000
0.727,0.906,0.000
0.509,0.708,1.000
0.464,0.408,1.000
0.427,0.095,0.000
0.485,0.592,1.000
0.719,0.830,0.000
0.540,0.035,0.000
0.499,0.391,1.000
0.789,0.150,0.000
0.535,0.404,1.000
0.612,0.980,0.000
0.168,0.258,0.000
0.361,0.428,1.000
0.648,0.464,1.000
0.501,0.325,1.000
0.581,0.079,0.000
0.859,0.869,0.000
0.453,0.589,1.000
0.597,0.964,0.000
0.114,0.724,0.000
0.572,0.381,1.000
0.616,0.488,1.000
0.143,0.207,0.000
0.897,0.469,0.000
0.960,0.531,0.000
0.512,0.699,1.000
0.015,0.436,0.000
0.610,0.103,0.000
0.829,0.212,0.000
0.312,0.411,1.000
0.393,0.536,1.000
0.313,0.612,1.000
