cnt,casual,registered,dteday
0.015368852459016393,0.008174386920980926,0.014672686230248307,2011-01-01
0.039959016393442626,0.021798365122615803,0.03611738148984198,2011-01-01
0.031762295081967214,0.013623978201634877,0.030474040632054177,2011-01-01
0.012295081967213115,0.008174386920980926,0.011286681715575621,2011-01-01
0.0,0.0,0.001128668171557562,2011-01-01
0.0,0.0,0.001128668171557562,2011-01-01
0.0010245901639344263,0.005449591280653951,0.0,2011-01-01
0.0020491803278688526,0.0027247956403269754,0.002257336343115124,2011-01-01
0.007172131147540984,0.0027247956403269754,0.007900677200902935,2011-01-01
0.01331967213114754,0.021798365122615803,0.006772009029345372,2011-01-01
0.035860655737704916,0.0326975476839237,0.02708803611738149,2011-01-01
0.05635245901639344,0.07084468664850137,0.033860045146726865,2011-01-01
0.08504098360655737,0.07901907356948229,0.062076749435665914,2011-01-01
0.09528688524590163,0.12806539509536785,0.05304740406320542,2011-01-01
0.10758196721311475,0.09536784741144415,0.08013544018058691,2011-01-01
0.11168032786885246,0.10899182561307902,0.07900677200902935,2011-01-01
0.0942622950819672,0.11171662125340599,0.05869074492099323,2011-01-01
0.06762295081967214,0.04087193460490463,0.05869074492099323,2011-01-01
0.03483606557377049,0.02452316076294278,0.029345372460496615,2011-01-01
0.036885245901639344,0.01634877384196185,0.034988713318284424,2011-01-01
0.035860655737704916,0.02997275204359673,0.028216704288939052,2011-01-01
0.03381147540983607,0.008174386920980926,0.034988713318284424,2011-01-01
0.027663934426229508,0.02997275204359673,0.019187358916478554,2011-01-01
0.0389344262295082,0.04087193460490463,0.02708803611738149,2011-01-01
0.01639344262295082,0.010899182561307902,0.014672686230248307,2011-01-02
0.01639344262295082,0.0027247956403269754,0.01805869074492099,2011-01-02
0.00819672131147541,0.0027247956403269754,0.009029345372460496,2011-01-02
0.005122950819672131,0.005449591280653951,0.004514672686230248,2011-01-02
0.0020491803278688526,0.005449591280653951,0.001128668171557562,2011-01-02
0.0010245901639344263,0.0,0.002257336343115124,2011-01-02
0.0,0.0,0.001128668171557562,2011-01-02
0.007172131147540984,0.0,0.009029345372460496,2011-01-02
0.0194672131147541,0.0027247956403269754,0.02144469525959368,2011-01-02
0.05327868852459016,0.01907356948228883,0.05191873589164785,2011-01-02
0.0706967213114754,0.043596730245231606,0.060948081264108354,2011-01-02
0.0942622950819672,0.05449591280653951,0.08239277652370203,2011-01-02
0.07581967213114754,0.02997275204359673,0.07223476297968397,2011-01-02
0.05942622950819672,0.010899182561307902,0.062076749435665914,2011-01-02
0.07479508196721311,0.051771117166212535,0.062076749435665914,2011-01-02
0.07684426229508197,0.02452316076294278,0.07562076749435666,2011-01-02
0.06557377049180328,0.01907356948228883,0.0654627539503386,2011-01-02
0.05327868852459016,0.027247956403269755,0.04853273137697517,2011-01-02
0.02971311475409836,0.0027247956403269754,0.0327313769751693,2011-01-02
0.02151639344262295,0.013623978201634877,0.019187358916478554,2011-01-02
0.030737704918032786,0.02997275204359673,0.022573363431151242,2011-01-02
0.00819672131147541,0.0,0.010158013544018058,2011-01-02
0.007172131147540984,0.0,0.009029345372460496,2011-01-02
0.004098360655737705,0.0,0.0056433408577878106,2011-01-03
0.0010245901639344263,0.0,0.002257336343115124,2011-01-03
0.0,0.0,0.001128668171557562,2011-01-03
0.0020491803278688526,0.0,0.003386004514672686,2011-01-03
0.02971311475409836,0.0,0.033860045146726865,2011-01-03
0.06454918032786885,0.0027247956403269754,0.07110609480812641,2011-01-03
0.1567622950819672,0.0027247956403269754,0.172686230248307,2011-01-03
0.08913934426229508,0.01907356948228883,0.09142212189616253,2011-01-03
0.04405737704918033,0.02997275204359673,0.03724604966139955,2011-01-03
0.05122950819672131,0.027247956403269755,0.046275395033860044,2011-01-03
0.06147540983606557,0.035422343324250684,0.05417607223476298,2011-01-03
0.06147540983606557,0.021798365122615803,0.05981941309255079,2011-01-03
0.0778688524590164,0.02997275204359673,0.0744920993227991,2011-01-03
0.07274590163934426,0.03814713896457766,0.0654627539503386,2011-01-03
0.07684426229508197,0.02452316076294278,0.07562076749435666,2011-01-03
0.1598360655737705,0.02997275204359673,0.16478555304740405,2011-01-03
0.1598360655737705,0.02452316076294278,0.1670428893905192,2011-01-03
0.11168032786885246,0.021798365122615803,0.11512415349887133,2011-01-03
0.05225409836065574,0.008174386920980926,0.055304740406320545,2011-01-03
0.05225409836065574,0.008174386920980926,0.055304740406320545,2011-01-03
0.0194672131147541,0.0,0.022573363431151242,2011-01-03
0.011270491803278689,0.0027247956403269754,0.012415349887133182,2011-01-03
0.004098360655737705,0.0,0.0056433408577878106,2011-01-04
0.0010245901639344263,0.0,0.002257336343115124,2011-01-04
0.0,0.0,0.001128668171557562,2011-01-04
0.0010245901639344263,0.0,0.002257336343115124,2011-01-04
0.0030737704918032786,0.0,0.004514672686230248,2011-01-04
0.035860655737704916,0.0,0.040632054176072234,2011-01-04
0.09528688524590163,0.005449591280653951,0.1038374717832957,2011-01-04
0.18237704918032788,0.005449591280653951,0.19977426636568849,2011-01-04
0.1014344262295082,0.005449591280653951,0.11060948081264109,2011-01-04
0.042008196721311473,0.013623978201634877,0.0417607223476298,2011-01-04
0.05737704918032787,0.01907356948228883,0.056433408577878104,2011-01-04
0.07889344262295082,0.0326975476839237,0.0744920993227991,2011-01-04
0.09836065573770492,0.04904632152588556,0.08916478555304741,2011-01-04
0.06352459016393443,0.02452316076294278,0.060948081264108354,2011-01-04
0.06557377049180328,0.04632152588555858,0.05417607223476298,2011-01-04
0.08401639344262295,0.04087193460490463,0.07674943566591422,2011-01-04
0.21618852459016394,0.027247956403269755,0.22799097065462753,2011-01-04
0.18545081967213115,0.008174386920980926,0.2020316027088036,2011-01-04
0.11372950819672131,0.005449591280653951,0.12415349887133183,2011-01-04
0.05430327868852459,0.0027247956403269754,0.05981941309255079,2011-01-04
0.04815573770491803,0.0,0.05417607223476298,2011-01-04
0.03483606557377049,0.0027247956403269754,0.03837471783295711,2011-01-04
0.010245901639344262,0.005449591280653951,0.010158013544018058,2011-01-04
0.005122950819672131,0.0,0.006772009029345372,2011-01-05
0.005122950819672131,0.0,0.006772009029345372,2011-01-05
0.0010245901639344263,0.0,0.002257336343115124,2011-01-05
0.0010245901639344263,0.0,0.002257336343115124,2011-01-05
0.0020491803278688526,0.0,0.003386004514672686,2011-01-05
0.03278688524590164,0.0,0.03724604966139955,2011-01-05
0.08913934426229508,0.0027247956403269754,0.0981941309255079,2011-01-05
0.1987704918032787,0.008174386920980926,0.21670428893905191,2011-01-05
0.1168032786885246,0.01634877384196185,0.12302483069977427,2011-01-05
0.05737704918032787,0.010899182561307902,0.05981941309255079,2011-01-05
0.04610655737704918,0.0326975476839237,0.03837471783295711,2011-01-05
0.07991803278688525,0.013623978201634877,0.0835214446952596,2011-01-05
0.07172131147540983,0.01634877384196185,0.07336343115124154,2011-01-05
0.0625,0.027247956403269755,0.05869074492099323,2011-01-05
0.0625,0.01907356948228883,0.062076749435665914,2011-01-05
0.09016393442622951,0.010899182561307902,0.09593679458239278,2011-01-05
0.19364754098360656,0.010899182561307902,0.20993227990970656,2011-01-05
0.1721311475409836,0.008174386920980926,0.1873589164785553,2011-01-05
0.13422131147540983,0.013623978201634877,0.1433408577878104,2011-01-05
0.09016393442622951,0.01907356948228883,0.09255079006772009,2011-01-05
0.0430327868852459,0.008174386920980926,0.045146726862302484,2011-01-05
0.042008196721311473,0.0027247956403269754,0.046275395033860044,2011-01-05
0.018442622950819672,0.0027247956403269754,0.020316027088036117,2011-01-05
0.010245901639344262,0.0,0.012415349887133182,2011-01-06
0.0030737704918032786,0.0,0.004514672686230248,2011-01-06
0.0010245901639344263,0.0,0.002257336343115124,2011-01-06
0.0,0.0,0.001128668171557562,2011-01-06
0.0030737704918032786,0.0,0.004514672686230248,2011-01-06
0.035860655737704916,0.0,0.040632054176072234,2011-01-06
0.09631147540983606,0.0,0.1072234762979684,2011-01-06
0.22336065573770492,0.008174386920980926,0.24379232505643342,2011-01-06
0.12397540983606557,0.01634877384196185,0.1309255079006772,2011-01-06
0.045081967213114756,0.008174386920980926,0.04740406320541761,2011-01-06
0.05942622950819672,0.005449591280653951,0.06433408577878104,2011-01-06
